kidx,coarse_rank,best_omega,best_selectivity,target_idx,target_amp,second_amp,target_dominance_coarse,coarse_target_share,stage_status,broad_label,final_avg_selectivity,final_min_selectivity,fro_norm,asymmetry_norm,asymmetry_ratio,positive_ratio,negative_ratio,mean_abs_weight,std_abs_weight,max_abs_weight,drive_out_strength,drive_in_strength,target_in_strength,target_out_strength,target_sink_bias,target_direct_from_drive,target_path_2hop,target_path_advantage_2hop,target_path_3hop,target_path_advantage_3hop,K
0,798,1.3,1.8878869263207563,2,0.4325812053685645,0.22913512421515655,1.8878869263207563,0.4862325851147938,coarse_only,low,nan,nan,3.024134962632362,5.1027927862555105,1.6873561693860684,0.55,0.45,0.6087625123984068,0.29441096635341474,0.9945229996597038,3.0492676793024636,2.971964731943357,3.0183698501517275,1.8012173439810515,1.217152506170676,0.6317071082430643,1.8594012441405254,1.5927607961289123,1.9406901882961116,1.8658633611299968,"[[0.0, -0.4604265724722594, -0.9180529521276106, -0.9669447289429418, 0.6265404784005448], [0.8255111545554434, 0.0, 0.4589931219679968, 0.08724998293084574, 0.8701448475755365], [0.6317071082430643, -0.9945229996597038, 0.0, -0.9328288493890713, 0.45931089285988813], [-0.648688758794882, 0.7263578446997732, 0.08292244049818343, 0.0, -0.1546255576046831], [-0.9433606577090741, -0.7514334470008721, 0.34124882938726064, 0.2943790231485002, 0.0]]"
1,873,1.5,1.7907855243269888,4,0.025295624633249844,0.014125435060664585,1.7907855243269888,0.5044350447266776,coarse_only,low,nan,nan,2.425808655297514,3.18452912777913,1.3127701234074662,0.6,0.4,0.4549040537289148,0.29544827551843544,0.994419871578422,1.6800180754930754,2.628093070627904,2.40457711915014,0.8527988030126215,1.5517783161375187,0.7805487040095846,0.41818933220137144,1.1007118031260772,0.39020914899714415,1.0543922019452951,"[[0.0, 0.994419871578422, 0.9616706775524602, 0.3710839689613894, 0.3009185525356326], [0.37689346114188016, 0.0, -0.7298069899551776, 0.4429766803881634, 0.050708644951451776], [-0.3795162488820887, -0.028329282336421846, 0.0, 0.8680870319124994, -0.28440960658185954], [0.14305966145952187, -0.3562612178481157, 0.1886000603993936, 0.0, -0.21676199894367754], [0.7805487040095846, -0.5456848129332406, 0.24637428937208483, -0.8319693128352303, 0.0]]"
2,1497,1.5,1.0437343272895359,4,0.4229078602655302,0.4051872676859561,1.0437343272895359,0.45116720930807946,coarse_only,low,nan,nan,2.7871342311087792,4.638034333618158,1.6640871766593706,0.4,0.6,0.5663955663145284,0.26000369914707167,0.9091809873814745,1.4925434455594027,2.4848593849337943,2.1409520871650596,2.415340452001556,-0.2743883648364962,0.25821630307941845,0.9330513815465399,1.1767978640209518,0.8474807191042409,0.7297744805361409,"[[0.0, -0.5212611140140957, 0.7529684616214076, -0.8828639303896113, -0.32776587890867925], [-0.6994410662103219, 0.0, 0.5926485405745885, -0.5387155820125051, -0.8959573978711808], [-0.1908963203569436, -0.6029739109814893, 0.0, 0.16066477197370133, -0.4026077343621548], [0.34398975591271874, -0.6009691120635734, 0.8842262210129956, 0.0, -0.789009440859541], [0.25821630307941845, 0.8543091061357349, -0.11924569056843204, 0.9091809873814745, 0.0]]"
3,817,1.3,1.8637150716274777,1,0.04606088152273738,0.02471455117903365,1.8637150716274777,0.48770708989483635,coarse_only,low,nan,nan,3.159612711561308,2.095944735257954,0.6633549509368789,0.75,0.25,0.6354937673888575,0.30871555834279996,0.9901930104706482,2.7536930506650883,2.2084169857587423,1.316341713726397,2.3010370153945523,-0.9846953016681552,0.5154576906165829,0.6721803256337573,0.36981854104793815,1.0157708203522953,0.5285547791742964,"[[0.0, 0.24042690403075562, 0.9901930104706482, 0.8978873498755306, -0.07990972138180785], [0.5154576906165829, 0.0, 0.05862432039354082, 0.571571401427615, -0.17068830128865842], [0.4689671435774587, 0.4222857559794997, 0.0, -0.7701347334381896, 0.4580302341526188], [0.8548478572491198, 0.9358523798492928, -0.9705873900692614, 0.0, 0.9623900801326886], [0.9144203592219271, -0.7024719755350042, 0.9452576276459099, 0.7798711114410413, 0.0]]"
4,902,1.5,1.760405764153217,4,0.03833424117367453,0.021775798484932538,1.760405764153217,0.47387434691684055,coarse_only,low,nan,nan,2.9637278917518812,4.280907906477895,1.4444335184718915,0.55,0.45,0.5779097560138459,0.32435237739443173,0.968016540952856,0.6435127980582729,2.4538150931403617,1.5073704245211375,2.3142738339071895,-0.8069034093860521,0.31138004239174966,0.22725123957715299,0.4246178284177404,0.15527322321785736,0.22483896644150092,"[[0.0, -0.5352541607213923, 0.6037611574366157, 0.8470603195669391, -0.46773945541541484], [0.07786881524437383, 0.0, 0.86203463196231, -0.9189785776231307, 0.46401239131312155], [0.22874649389799329, -0.9432692697729579, 0.0, -0.968016540952856, 0.5159020047128562], [0.025517446524156107, 0.8582084415940123, -0.8678350065518505, 0.0, -0.8666199824657972], [-0.31138004239174966, -0.1394025361043334, 0.9321241615681404, 0.12446368445691403, 0.0]]"
5,623,1.5,2.105478855180986,4,0.019929245871219987,0.009465421996556407,2.105478855180986,0.45744694468838215,coarse_only,low,nan,nan,2.473615192742479,2.7929306145487107,1.1290885594258822,0.55,0.45,0.4774680767161018,0.2792182691110081,0.9181552853948844,1.2715943886308485,2.4987268587979887,2.54842863180874,1.2946665614428088,1.2537620703659311,0.8199179233245939,0.287652603290761,0.6151823516563412,0.269340815184966,0.6051544756743478,"[[0.0, 0.7762366413183597, -0.5482611431653512, -0.750890588329433, -0.4233384859848448], [0.1722461296254656, 0.0, 0.6194215518255555, 0.12095190401237166, -0.423157571137579], [-0.1742073146382146, 0.6362419419418208, 0.0, 0.9181552853948844, -0.26119117781663825], [0.10522302104257442, 0.18784840322633656, 0.69658241655012, 0.0, -0.1869793265037467], [0.8199179233245939, -0.9138662228635916, 0.6454125603630039, -0.1692319252575507, 0.0]]"
6,1406,1.5,1.2312645041359465,4,0.5450548156160817,0.4426788994435836,1.2312645041359465,0.41355868117549044,coarse_only,low,nan,nan,2.6268270351762313,3.980958524294654,1.5155008194234074,0.4,0.6,0.5204945589977783,0.2722065900935275,0.9898346963218356,1.3374569373346212,1.8701785656263414,2.30393138580866,1.906168886891156,0.39776249891750415,0.3114085380753495,0.7315527024267118,1.000414472619532,0.8355756080342827,1.0161017681714735,"[[0.0, -0.2699076844834587, -0.8427399256687202, 0.3052291526732769, -0.4523018028008856], [0.4053041413195726, 0.0, -0.7463657954775045, 0.7295565908015482, -0.8810716967993231], [-0.23845898337822113, -0.14045187764284672, 0.0, 0.9529246438720891, 0.5513823762036567], [-0.382285274561478, -0.4603264289983997, 0.7262404083786356, 0.0, 0.021413011087290545], [-0.3114085380753495, 0.9898346963218356, -0.3681129092645996, -0.6345752421468751, 0.0]]"
7,1187,1.5,1.4800293801750968,4,0.3663599233112218,0.24753557477784602,1.4800293801750968,0.5060358815587003,coarse_only,low,nan,nan,2.7022267313160584,3.8534310538530963,1.4260206255804981,0.75,0.25,0.5134699366176865,0.3185123067666027,0.9871822346713797,2.1418286166607725,2.600532235730952,2.631803265713997,2.046291296018971,0.585511969695026,0.14279120091154884,1.6604160291674985,2.222355700832094,0.8659620244542607,0.8073474643647357,"[[0.0, 0.33577881114270247, 0.9168272635559038, 0.8514291544288375, 0.49649700660350815], [0.7214028190953554, 0.0, -0.7175068861979368, 0.3401236986298719, 0.42923707330950545], [-0.6658941424354556, -0.20888545379024803, 0.0, 0.12280153510044589, 0.15667182985254535], [-0.6117404542184128, 0.05204449723575033, 0.04686945478983984, 0.0, 0.9638853862534125], [0.14279120091154884, -0.9871822346713797, 0.5452984024507772, 0.9565314276802914, 0.0]]"
8,1062,1.5,1.6119718909879768,2,0.32175072520457715,0.19960070457913773,1.6119718909879768,0.5060419345072732,coarse_only,low,nan,nan,2.6205869908175203,3.7301470395746934,1.4234013420060558,0.4,0.6,0.5130596979395665,0.2830963708214258,0.8593474928615639,1.8904893753175305,1.7351988245002772,2.145639009514224,2.1087962526126978,0.036842756901526386,0.6455465190506824,0.825402457765863,0.8617917263761175,0.6336504975289083,0.560842483294626,"[[0.0, -0.6249845685444302, 0.3450532678337386, -0.60978520308639, 0.15537578503571847], [0.20447835275925152, 0.0, -0.8554694689402464, -5.4352682762992544e-05, 0.4881949585652965], [-0.6455465190506824, -0.22386653643096155, 0.0, 0.4517617275515535, -0.8244642264810265], [-0.20981658328406483, 0.7470452622414643, -0.05539932649997703, 0.0, 0.5318342354777448], [0.8306479202235317, -0.7451939819021873, -0.8528741893387359, -0.8593474928615639, 0.0]]"
9,1059,1.3,1.6155741496679625,3,0.24562786870465753,0.1520375086179264,1.6155741496679625,0.4565950175428231,coarse_only,low,nan,nan,2.6123997510000794,3.62856597330993,1.3889780734818447,0.6,0.4,0.4993161005664685,0.30317495718868387,0.9773906667356393,1.41908789430969,1.3912018797722847,2.789053832473586,1.8185654352931855,0.9704883971804006,0.6341133506485626,0.6143512945737277,0.7561153995280707,0.5958026007214812,0.594464740518297,"[[0.0, -0.00685661240229396, -0.6729131676070395, 0.34746687545454735, -0.36396522430840395], [0.42175972653188976, 0.0, 0.01493972108905428, 0.5793314649197407, -0.8145090489532385], [0.15751700664700508, -0.6055301054082629, 0.0, -0.02230792774148016, 0.9773906667356393], [-0.6341133506485626, 0.9260382802485345, 0.601834073217218, 0.0, 0.627068128359271], [0.20569781048223268, 0.3102421279827605, 0.8273815254147778, -0.8694591671774172, 0.0]]"
10,204,1.4,3.3117059760986147,3,0.21706156641617094,0.06554373123080527,3.3117059760986147,0.6009756922024735,coarse_only,medium,nan,nan,2.558726239803749,2.670519397887577,1.0436909413534443,0.45,0.55,0.5013698137508016,0.27564888603529325,0.9993986197861542,1.4070011948687056,1.9282730368121406,2.022095031556609,1.9361331727627538,0.08596185879385532,0.16510377559124034,0.9649017038648597,1.140585261554213,0.7519548227489098,0.8624740200878716,"[[0.0, -0.34890876779859115, 0.9880535424199686, 0.5623810041527564, -0.02892972244082448], [-0.15474320715043755, 0.0, -0.8263702555702117, 0.41683751382773204, 0.578309247410292], [0.5983927594322296, -0.35542655052033645, 0.0, -0.5493431162486697, -0.2753840990308618], [-0.16510377559124034, 0.08281996726032914, -0.7747726689188856, 0.0, -0.9993986197861542], [0.4887614526947981, 0.7037518244685139, -0.7221366417596049, 0.4075715385335956, 0.0]]"
11,1170,1.5,1.494380213749707,2,1.0399005153900929,0.6958741194647341,1.494380213749707,0.5410189001535605,coarse_only,low,nan,nan,2.6135592772739495,4.531385964038085,1.7337988097070345,0.55,0.45,0.47793981543589814,0.3363155328145521,0.959377417019313,0.8003309450971439,2.746714380573451,1.768967885027016,1.8946662579379943,-0.12569837291097818,0.4031371321237456,0.1739471776105869,0.37040792249294746,0.13010209501963807,0.28513929171745167,"[[0.0, 0.6875811247374535, -0.15178702911197428, 0.959377417019313, 0.9479688097047103], [0.007353958401157934, 0.0, 0.8276753353463258, -0.04770585606249389, 0.7275724821941698], [0.4031371321237456, -0.41215148805088475, 0.0, 0.14136957171899822, -0.8123096931333875], [-0.21723914739067163, -0.8525179732043882, -0.047666073566008826, 0.0, -0.1525251140591053], [0.17260070718156872, -0.7546186796478531, 0.8675378199136854, 0.368100896150066, 0.0]]"
12,1323,1.3,1.321616712185638,1,0.27046070280527185,0.20464382775295942,1.321616712185638,0.48217365777607374,coarse_only,low,nan,nan,2.5123269161619763,3.360459135983677,1.3375883187670634,0.55,0.45,0.4770084085426348,0.2967360862167259,0.9940205861449836,2.1839802626972964,1.6472290087999828,2.5713135984783904,0.8665396321146062,1.7047739663637842,0.6519144443407985,1.191533810795295,1.025324211460641,0.7929339948597299,1.125724658154355,"[[0.0, 0.1666400938469519, -0.9195635581907986, 0.422973648235516, 0.13805170852671633], [0.6519144443407985, 0.0, 0.6264881907283848, 0.9940205861449836, -0.29889037726422374], [-0.6579571199586518, -0.21665040109219436, 0.0, -0.12154213628338706, 0.17676021885842963], [-0.7452830561566579, 0.4522470218679606, -0.43983519626700107, 0.0, 0.7258999971663891], [0.1288256422411882, -0.0310021153074993, 0.797647530496969, -0.8279751278779948, 0.0]]"
